dates,IT_GOVT,LT_GOVT,LT_CORP,US_MBS,RF
2004-01-30,1.3468895094757307,1.5332550595192715,1.5123386980241125,1.3056169625863419,164.21
2004-02-27,1.3659781099039299,1.5626865609477865,1.53626284226491,1.3156668782984617,164.33
2004-03-31,1.3816489844974555,1.5851747841006796,1.5521087819610806,1.3203926879859205,164.46
2004-04-30,1.3258455752631757,1.4949968544727192,1.4741662765601904,1.2958405526223957,164.59
2004-05-31,1.3175997448119046,1.486471048170161,1.4597170989249242,1.291982105541135,164.72
2004-06-30,1.3241290857111567,1.499076837352548,1.4674485518995715,1.302548531304977,164.83
2004-07-30,1.3386252143299466,1.5229720180306656,1.494244627380972,1.3129571825407031,164.99
2004-08-31,1.3710191962957714,1.5778325898253307,1.548246300342649,1.3317691411414831,165.17
2004-09-30,1.3736740082674674,1.5892548753746318,1.56596431722861,1.332185342682751,165.37
2004-10-29,1.3845647760841415,1.6107094841924332,1.589623136835121,1.341305139840614,165.57
2004-11-30,1.358428217642099,1.572618084851355,1.5656103658460843,1.3361013195554443,165.8
2004-12-31,1.3714421354038253,1.6049685949431618,1.6058950686336189,1.3429326781457154,166.12
2005-01-31,1.377174808513979,1.6427284339572816,1.6417721596298513,1.347816193124129,166.4
2005-02-28,1.3588250749759296,1.6188688162252831,1.6267891086311468,1.3393819735016175,166.67
2005-03-31,1.348938769974258,1.6043758568961428,1.5842903097612653,1.3338420615584021,167.05
2005-04-29,1.3766680854071778,1.6557042912734912,1.6128663060664885,1.3456521135597277,167.42
2005-05-31,1.39381266018971,1.694725675784603,1.6472695414071505,1.3530368335845666,167.82
2005-06-30,1.39824812160481,1.7162827357771928,1.6682814515292355,1.354879307667599,168.2
2005-07-29,1.3697859443652494,1.6670846144186824,1.6367374653676792,1.3447856358383428,168.61
2005-08-31,1.391593365640223,1.7109738479230783,1.6700899288515147,1.352951045007431,169.08
2005-09-30,1.3645571923038677,1.6567884242068747,1.6078603619016545,1.3418321343426018,169.58
2005-10-31,1.3460692077479224,1.6218813871032804,1.5663970382985049,1.3289223108996453,170.03
2005-11-30,1.3497066423763864,1.627054218286923,1.5768647233540896,1.3291810972298286,170.55
2005-12-30,1.36034496318731,1.6596953025328716,1.6046485717007062,1.337898105939547,171.1
2006-01-31,1.3490472794493438,1.6391583899962785,1.5876723066805674,1.337904035363171,171.65
2006-02-28,1.343531006026905,1.6455272927938915,1.6035629284017665,1.3398516562491065,172.2
2006-03-31,1.3221377453135135,1.5830981971558828,1.5375510195164073,1.3233542134776919,172.86
2006-04-28,1.31077627525308,1.5463134194424935,1.509659441985909,1.3184509998342644,173.51
2006-05-31,1.3044856225466683,1.540268573745843,1.4946204851213876,1.3107056566076083,174.2
2006-06-30,1.3030512547027555,1.5459750490452668,1.4924890700111442,1.308047631979256,174.89
2006-07-31,1.3172675623278352,1.5693320910335904,1.5179923294753277,1.3214739307801182,175.6
2006-08-31,1.334671282200302,1.605743860947789,1.5567891266114868,1.3350351449443332,176.35
2006-09-29,1.3431390432140062,1.6249776444138968,1.578994657008266,1.3385434401242415,177.12
2006-10-31,1.345249755366088,1.6305881207725983,1.594233082780144,1.3430327899262469,177.81
2006-11-30,1.3561342475726426,1.6558083109047725,1.6267513696181726,1.3528447163977189,178.55
2006-12-29,1.3346190018212853,1.6127694504334518,1.584189684572156,1.3432870685103493,179.32
2007-01-31,1.3250876013150312,1.5937322788360944,1.5737820094311306,1.3386077750968215,180.06
2007-02-28,1.34704521760433,1.6350405089038549,1.6195325669819143,1.3500618432913367,180.74
2007-03-30,1.3402690101379562,1.609695498696887,1.5783522472133482,1.347570135511108,181.55
2007-04-30,1.342214304115235,1.6153538201271855,1.5914465100397295,1.3484294535422512,182.33
2007-05-31,1.3184198359911221,1.5783779820390558,1.5585795021092075,1.3349879027685287,183.1
2007-06-29,1.3095148092077749,1.5587730279719476,1.531785563824443,1.3240570009198098,183.83
2007-07-31,1.3308388141669365,1.5945393266116723,1.5231071003191035,1.3279821598577046,184.53
2007-08-31,1.3517431993239637,1.6163793153790826,1.53153740955607,1.3370637263261507,185.44
2007-09-28,1.352577714261335,1.615261246719387,1.5421820756884015,1.3426461941155854,186.09
2007-10-31,1.3617201005230803,1.633209570346129,1.5667193084071083,1.352169616569171,186.65
2007-11-30,1.406249058406886,1.7019994789642043,1.558787906275118,1.3705255345377858,187.37
2007-12-31,1.404010667761709,1.6904532232662548,1.5577055452575146,1.37060687906487,187.89
2008-01-31,1.4443706202601774,1.7286843001292944,1.5414928251753646,1.390724699818032,188.6
2008-02-29,1.4638114115474261,1.7337655503594385,1.5262091427877256,1.389110509206322,188.85
2008-03-31,1.4793960843999316,1.7451507755031699,1.5047597271013442,1.3939729997245556,189.25
2008-04-30,1.4415613232380757,1.7096316217564147,1.5345450856502698,1.3936854905803548,189.47
2008-05-30,1.4180089457755556,1.67459703617481,1.506020739816267,1.385487018708728,189.58
2008-06-30,1.428513235162558,1.7003942765287692,1.4948698168348107,1.3822864381556466,189.91
2008-07-31,1.4348335046617033,1.6962885352628458,1.4687194286267937,1.3780312113171476,190.23
2008-08-29,1.4541857729069019,1.7360867540479008,1.4839544528050552,1.3933867704732064,190.49
2008-09-30,1.4552906950560847,1.739616616525722,1.337503967389744,1.4011611013333356,190.86
2008-10-31,1.4437790007494458,1.6807280377557847,1.1859114677720075,1.3818652124260171,191.09
2008-11-28,1.544250706328131,1.8864442712994987,1.2713228079375456,1.4352827056694204,191.21
2008-12-31,1.611187675272024,2.0604044284615006,1.4507308464718014,1.4591722130772395,191.22
2009-01-30,1.5597295864220995,1.8822913791095064,1.4054273887749562,1.4620095353917262,191.21
2009-02-27,1.546447109799372,1.8628543681555803,1.3627196813358777,1.4701285214821982,191.25
2009-03-31,1.5950485987818033,1.95194909632284,1.3449195697773288,1.490662036280314,191.29
2009-04-30,1.5563382148090676,1.8505769889260086,1.3950439208412069,1.4945113319584915,191.34
2009-05-29,1.5277074751502362,1.799779060989315,1.4671290102113885,1.4988028926809507,191.35
2009-06-30,1.5200033339582293,1.8117144983550628,1.5427390042412763,1.5005201997246207,191.37
2009-07-31,1.52945075384218,1.8223818753089642,1.652329418229419,1.5125633246410488,191.4
2009-08-31,1.5442161131473906,1.856347904579909,1.6890850357453708,1.5223489251701838,191.44
2009-09-30,1.5592421914948156,1.8928324713871165,1.7353457030290294,1.5343466076215735,191.47
2009-10-30,1.560335948481594,1.8660620432118777,1.7348752547024424,1.5451501910282333,191.49
2009-11-30,1.5920857088016058,1.8984197918621641,1.752824563470763,1.564887080310238,191.5
2009-12-31,1.531963102313672,1.7915864114455184,1.7303280499729254,1.5428592725378745,191.5
2010-01-29,1.5645168773444744,1.8380232909674576,1.7570130411270855,1.5631639572503868,191.52
2010-02-26,1.5743346581296183,1.8429785751252534,1.7602253510041375,1.5659394948470742,191.52
2010-03-31,1.5563850255939586,1.8078942546446504,1.7603261814226274,1.5663752042002361,191.53
2010-04-30,1.5784160308827118,1.8582105480862292,1.817816376774356,1.575647974982486,191.55
2010-05-31,1.6165033797945332,1.9375788652504675,1.7959000855765705,1.593048985730636,191.58
2010-06-30,1.6590822827367322,2.027129326042093,1.8676940782211753,1.6107628720568128,191.6
2010-07-30,1.6775262316446233,2.0283228209109163,1.9099621117218366,1.6242421095634008,191.64
2010-08-31,1.7236197293455533,2.166017420785141,1.9838812912732284,1.6265643311609777,191.66
2010-09-30,1.7282289912645372,2.1317738234477814,1.9821655665767743,1.620198823859577,191.68
2010-10-29,1.732604835087984,2.060953292109935,1.9515631443865489,1.6358983134329503,191.7
